date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2022-06-30,GEO.TO,USD,,2022-06-30,2022-06-30,2022,Q2,11785471.0,1100692.0,12886163.0,40367586.0,29844760.0,2990160.0,86088669,54639399,0.0,0.0,0.0,0.0,0.0,0.0,54639399,0.0,140728068,9854137.0,5994260.0,4888953.0,0.0,15578612.0,31427009.0,3975455.0,0.0,4342223.0,0.0,8317678.0,0.0,1048503.0,39744687.0,0.0,28106386.0,69603481,0.0,3277174.0,100987041,140731728,-3660,100983381.0,140728068,0.0,9969715.0,-1815756.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Limited&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Limited&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,GEO.TO,USD,,2022-03-31,2022-03-31,2022,Q1,14965186.0,2358205.0,17323391.0,31711352.0,28129720.0,1966272.0,79130735,52752648,0.0,0.0,0.0,0.0,0.0,0.0,52752648,0.0,131883383,8948083.0,7523030.0,4379119.0,0.0,16057865.0,32528978.0,2916465.0,0.0,3712837.0,0.0,6629302.0,0.0,1028131.0,39158280.0,0.0,25222156.0,63713662,0.0,3810207.0,92746025,131904305,-20922,92725103.0,131883383,0.0,10439495.0,-4525691.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Limited&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Limited&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,GEO.TO,USD,,2021-12-31,2021-12-31,2021,Q4,9275316.0,4253119.0,13528435.0,23707433.0,27832408.0,1590638.0,66658914,49896828,0.0,0.0,0.0,0.0,0.0,0.0,49896828,0.0,116555742,7079819.0,4263434.0,2228406.0,0.0,10957551.0,22300804.0,3346732.0,0.0,3381671.0,0.0,6728403.0,0.0,708651.0,29029207.0,0.0,24858172.0,58830570,0.0,3857405.0,87546147,116575354,-19612,87526535.0,116555742,0.0,7610166.0,-1665150.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Limited&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Limited&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,GEO.TO,USD,,2021-09-30,2021-09-30,2021,Q3,15832788.0,3526547.0,19359335.0,22742251.0,27287687.0,1545494.0,70934767,48865939,0.0,0.0,0.0,0.0,0.0,0.0,48865939,0.0,119800706,8503955.0,7965201.0,2657578.0,0.0,12363338.0,28832494.0,3101019.0,0.0,3141622.0,0.0,6242641.0,0.0,774553.0,35075135.0,0.0,24858172.0,56046230,0.0,3814727.0,84719129,119794264,6442,84725571.0,119800706,0.0,11066220.0,-4766568.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Limited&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Limited&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,GEO.TO,USD,,2021-06-30,2021-06-30,2021,Q2,10155490.0,3792367.0,13947857.0,31166537.0,25557066.0,3931854.0,74603314,44599457,0.0,0.0,0.0,0.0,0.0,0.0,44599457,0.0,119202771,9862457.0,9263450.0,2720943.0,0.0,11276529.0,30402436.0,2131737.0,0.0,3368344.0,0.0,5500081.0,0.0,895187.0,35902517.0,0.0,24858172.0,54671255,0.0,3772138.0,83301565,119204082,-1311,83300254.0,119202771,0.0,11395187.0,1239697.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Limited&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Limited&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,GEO.TO,USD,,2021-03-31,2021-03-31,2021,Q1,5927956.0,2723309.0,8651265.0,34564657.0,24407994.0,1798477.0,69422393,43045903,0.0,0.0,0.0,0.0,0.0,0.0,43045903,0.0,112468296,10619331.0,6872969.0,3566002.0,0.0,12356761.0,29849061.0,0.0,0.0,3536859.0,186734.0,3723593.0,0.0,518036.0,33572654.0,0.0,24325476.0,50711139,-74030204.0,77891351.0,78897762,112470416,-2120,78895642.0,112468296,0.0,7284703.0,1356747.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,GEO.TO,USD,,2020-12-31,2020-12-31,2020,Q4,6564525.0,2066648.0,8631173.0,22650964.0,22498525.0,1493013.0,55273675,43066861,0.0,0.0,0.0,0.0,0.0,0.0,43066861,0.0,98340536,9282353.0,3427282.0,2202646.0,0.0,8936940.0,21646575.0,0.0,0.0,3312310.0,321941.0,3634251.0,0.0,665890.0,25280826.0,0.0,23378281.0,45410722,-72658829.0,76929417.0,73059591,98340417,119,73059710.0,98340536,0.0,3749223.0,-2815302.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,GEO.TO,USD,,2020-09-30,2020-09-30,2020,Q3,9944133.0,1714241.0,11658374.0,15656850.0,18821398.0,1188432.0,47325054,40720344,0.0,0.0,0.0,0.0,0.0,0.0,40720344,0.0,88045398,4537558.0,1712287.0,1329407.0,0.0,7616235.0,13866080.0,0.0,0.0,3060904.0,122350.0,3183254.0,0.0,209637.0,17049334.0,0.0,23421004.0,43327048,-71246986.0,75490788.0,70991854,88041188,4210,70996064.0,88045398,0.0,1834637.0,-8109496.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,GEO.TO,USD,,2020-06-30,2020-06-30,2020,Q2,7287837.0,798073.0,8085910.0,19265968.0,17696420.0,821545.0,45869843,40907047,0.0,0.0,0.0,0.0,0.0,0.0,40907047,0.0,86776890,4170433.0,2314146.0,1897984.0,0.0,7673030.0,14157609.0,0.0,0.0,3224277.0,83613.0,3307890.0,0.0,231092.0,17465499.0,0.0,23276234.0,41624434,-69886820.0,74292738.0,69306586,86772085,4805,69311391.0,86776890,0.0,2397759.0,-4890078.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,GEO.TO,USD,,2020-03-31,2020-03-31,2020,Q1,5813713.0,459795.0,6273508.0,20571112.0,18133619.0,689159.0,45667398,41485274,0.0,0.0,0.0,0.0,0.0,0.0,41485274,0.0,87152672,6013779.0,2483968.0,3050502.0,0.0,8935101.0,17432848.0,541667.0,0.0,3104961.0,93741.0,3740369.0,0.0,350781.0,21173217.0,0.0,23234085.0,38348035,-68570280.0,72967615.0,65979455,87152672,0,65979455.0,87152672,0.0,3025635.0,-2788078.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2019-12-31,GEO.TO,USD,,2019-12-31,2019-12-31,2019,Q4,10558184.0,428787.0,10986971.0,15216529.0,17660278.0,697434.0,44561212,42158512,0.0,0.0,0.0,0.0,0.0,0.0,42158512,0.0,86719724,5491743.0,2610278.0,2883780.0,0.0,8236754.0,16338775.0,1083333.0,0.0,3383765.0,115375.0,4582473.0,0.0,438463.0,20921248.0,0.0,23204469.0,38242108,-67033112.0,71385011.0,65798476,86719724,0,65798476.0,86719724,0.0,3693611.0,-6864573.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2019-09-30,GEO.TO,USD,,2019-09-30,2019-09-30,2019,Q3,8618603.0,0.0,8618603.0,21535774.0,16861656.0,1920364.0,48936397,42778179,0.0,0.0,0.0,0.0,0.0,0.0,42778179,0.0,91714576,6672953.0,3214204.0,5635974.0,0.0,11391734.0,21278891.0,1625000.0,0.0,2007035.0,127932.0,3759967.0,0.0,494685.0,25038858.0,0.0,23101711.0,39199945,-65408901.0,69782963.0,66675718,91714576,0,66675718.0,91714576,0.0,4839204.0,-3779399.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Geodrill Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
